timestamp,src_ip,dst_ip,label
2026-08-07T11:14:20.430033+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T11:14:24.188965+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T11:14:29.923233+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T11:14:33.635310+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T11:14:37.200781+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T11:14:43.125664+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T11:14:49.047226+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T11:14:54.920559+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T11:14:58.659183+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T11:15:03.167413+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T11:15:08.018096+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T11:15:12.755144+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T11:15:17.304576+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T11:15:22.369185+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T11:15:27.892935+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T11:15:31.194924+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T11:18:04.862271+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-07T11:18:11.159419+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-07T11:18:14.910066+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-07T11:18:18.741117+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-07T11:20:33.098696+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T11:20:37.281397+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T11:20:41.171150+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T11:20:47.656680+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-09T05:32:17.776879+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:32:21.430350+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:32:24.903678+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:32:28.326090+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:32:32.248787+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:32:37.928278+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:32:44.009985+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:32:47.616215+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:32:51.634209+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:32:56.355951+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:33:00.906638+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:33:05.769164+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:33:10.551437+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:33:16.253013+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:33:21.537177+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:33:26.867881+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:36:07.419884+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-09T05:36:13.756374+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-09T05:36:19.999986+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-09T05:36:26.128992+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-09T05:38:46.078945+00:00,192.168.64.129,10.10.10.104,ssh-brute
2026-08-09T05:38:52.610169+00:00,192.168.64.129,10.10.10.104,ssh-brute
2026-08-09T05:38:58.928291+00:00,192.168.64.129,10.10.10.104,ssh-brute
2026-08-09T05:39:04.971731+00:00,192.168.64.129,10.10.10.104,ssh-brute
2026-08-09T05:41:25.579357+00:00,192.168.64.129,10.10.10.103,ssh-brute
2026-08-09T05:41:29.453236+00:00,192.168.64.129,10.10.10.103,ssh-brute
2026-08-09T05:41:35.442299+00:00,192.168.64.129,10.10.10.103,ssh-brute
2026-08-09T05:41:39.379028+00:00,192.168.64.129,10.10.10.103,ssh-brute
2026-08-09T05:41:45.714304+00:00,192.168.64.129,10.10.10.103,ssh-brute
2026-08-09T05:41:51.001932+00:00,192.168.64.129,10.10.10.103,ssh-brute
2026-08-09T05:41:56.766104+00:00,192.168.64.129,10.10.10.103,ssh-brute
2026-08-09T05:59:43.040048+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:59:48.876357+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:59:52.332903+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T05:59:56.139187+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T06:00:00.068659+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T06:00:03.686233+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T06:00:09.481144+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T06:00:15.683933+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T06:00:19.381965+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T06:00:24.260304+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T06:00:28.898004+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T06:00:33.521598+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T06:00:38.587693+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T06:00:43.986117+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T06:00:47.802764+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T06:00:53.201550+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-09T06:03:32.453250+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-09T06:03:36.329795+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-09T06:03:40.271080+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-09T06:03:44.032623+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-09T06:03:50.224783+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-09T06:03:54.168806+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-09T06:04:00.309837+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-09T06:04:06.132936+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-09T06:04:11.951891+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-09T06:04:16.929033+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-09T06:04:21.938212+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-09T06:04:26.553201+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-09T06:04:31.701106+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-09T06:04:35.506862+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-09T06:04:39.199503+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-09T06:04:43.129051+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-27T11:44:47.991909+00:00,172.16.123.128,10.10.10.1,ssh-brute
