timestamp,src_ip,dst_ip,label
2026-08-07T07:45:17.307271+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.313220+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.313884+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.315313+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.315908+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.317479+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.318984+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.319619+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.319989+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.320593+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.321219+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.321680+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.321761+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.321934+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.322149+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.464642+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.465089+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.466918+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.468865+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.469114+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.470674+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.471847+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.472003+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.472908+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.473222+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.473477+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.473857+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.616302+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.616667+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.616927+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.617867+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.621102+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.621983+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.623111+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.623341+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.623669+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.623810+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.624156+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.625135+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.625532+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.625935+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.767846+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.767977+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.768101+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.769302+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.772492+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.773257+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.774754+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.775014+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.775264+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.776121+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.776302+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.777219+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.919345+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.919714+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.919915+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.920672+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.923571+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.923810+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.924461+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.926029+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.926262+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.926531+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.926980+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.927208+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.928261+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:17.928504+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.071168+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.071493+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.071890+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.074950+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.075604+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.077248+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.078238+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.078516+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.078622+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.078677+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.078862+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.079419+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.237327+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.237842+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.239272+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.239821+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.240315+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.241088+00:00,192.168.64.129,10.10.10.102,Bonet
2026-08-07T07:45:18.241327+00:00,192.168.64.129,10.10.10.102,Bonet
